field	value
reason	save_probe
save	C:\Users\hexas\AppData\Roaming\TeamSamoyed\TeamfightManager2\data\save_20260602_132126.data
load_name	save_20260602_132126.data
decode	ok
teams	120
athletes	1119
champion_patch_statistics	1
solo_rank_matches	286
match_replays	237
league_competitions	12
tournament_competitions	0
year_schedules	1
match_stats	237
