field	value
save	C:\Users\hexas\AppData\Roaming\TeamSamoyed\TeamfightManager2\data\save_20260605_013909.data
load_name	save_20260605_013909.data
decode	ok
teams	120
athletes	1087
champion_patch_statistics	3
solo_rank_matches	696
match_replays	1949
league_competitions	12
tournament_competitions	0
year_schedules	1
match_stats	1949
